type_of_graph,number_of_nodes,number_of_edges,time_LEDA
random,10000,20000,1.467
grid,30000,117940,6.383
random,20000,40000,1.548
grid,60000,237880,7.226
random,60000,120000,35.429
grid,80000,317840,12.457
random,10000,20000,3.128
grid,30000,117940,3.425
random,20000,40000,2.736
grid,60000,237880,6.624
random,60000,120000,32.643
grid,80000,317840,24.153
random,10000,20000,1.533
grid,30000,117940,4.282
random,20000,40000,8.125
grid,60000,237880,11.065
random,60000,120000,5.805
grid,80000,317840,45.202
random,10000,20000,0.912
grid,30000,117940,2.812
random,20000,40000,7.746
grid,60000,237880,9.649
random,60000,120000,3.986
grid,80000,317840,20.016
random,10000,20000,1.702
grid,30000,117940,4.141
random,20000,40000,2.233
grid,60000,237880,13.452
random,60000,120000,5.945
grid,80000,317840,28.249
random,10000,20000,0.904
grid,30000,117940,3.415
random,20000,40000,9.299
grid,60000,237880,11.651
random,60000,120000,3.933
grid,80000,317840,11.512
random,10000,20000,3.853
grid,30000,117940,4.414
random,20000,40000,7.993
grid,60000,237880,7.954
random,60000,120000,4.093
grid,80000,317840,26.249
random,10000,20000,0.889
grid,30000,117940,3.657
random,20000,40000,2.318
grid,60000,237880,23.495
random,60000,120000,3.988
grid,80000,317840,22.71
random,10000,20000,1.642
grid,30000,117940,4.013
random,20000,40000,7.609
grid,60000,237880,7.074
random,60000,120000,5.291
grid,80000,317840,11.977
random,10000,20000,3.315
grid,30000,117940,4.049
random,20000,40000,1.759
grid,60000,237880,17.847
random,60000,120000,38.711
grid,80000,317840,24.2
random,10000,20000,1.72
grid,30000,117940,4.226
random,20000,40000,7.689
grid,60000,237880,16.412
random,60000,120000,39.393
grid,80000,317840,14.983
random,10000,20000,3.468
grid,30000,117940,3.628
random,20000,40000,8.083
grid,60000,237880,16.605
random,60000,120000,4.308
grid,80000,317840,35.678
random,10000,20000,3.929
grid,30000,117940,4.113
random,20000,40000,8.324
grid,60000,237880,12.164
random,60000,120000,38.869
grid,80000,317840,28.545
random,10000,20000,1.345
grid,30000,117940,3.313
random,20000,40000,8.292
grid,60000,237880,7.131
random,60000,120000,5.081
grid,80000,317840,12.556
random,10000,20000,3.94
grid,30000,117940,4.498
random,20000,40000,7.855
grid,60000,237880,15.135
random,60000,120000,38.194
grid,80000,317840,27.904
random,10000,20000,0.991
grid,30000,117940,4.421
random,20000,40000,1.754
grid,60000,237880,19.646
random,60000,120000,4.232
grid,80000,317840,44.613
random,10000,20000,3.816
grid,30000,117940,4.723
random,20000,40000,7.96
grid,60000,237880,12.939
random,60000,120000,4.455
grid,80000,317840,36.676
random,10000,20000,0.819
grid,30000,117940,4.135
random,20000,40000,1.876
grid,60000,237880,12.049
random,60000,120000,3.393
grid,80000,317840,24.332
random,10000,20000,3.905
grid,30000,117940,4.523
random,20000,40000,1.771
grid,60000,237880,12.295
random,60000,120000,6.246
grid,80000,317840,16.307
random,10000,20000,3.396
grid,30000,117940,3.452
random,20000,40000,1.808
grid,60000,237880,9.997
random,60000,120000,3.71
grid,80000,317840,29.677
random,10000,20000,3.938
grid,30000,117940,4.156
random,20000,40000,7.635
grid,60000,237880,7.636
random,60000,120000,3.689
grid,80000,317840,26.255
random,10000,20000,0.854
grid,30000,117940,4.544
random,20000,40000,8.527
grid,60000,237880,6.622
random,60000,120000,3.485
grid,80000,317840,10.095
random,10000,20000,1.578
grid,30000,117940,4.565
random,20000,40000,2.279
grid,60000,237880,21.806
random,60000,120000,36.341
grid,80000,317840,22.396
random,10000,20000,0.93
grid,30000,117940,3.347
random,20000,40000,1.767
grid,60000,237880,23.535
random,60000,120000,3.84
grid,80000,317840,11.27
random,10000,20000,1.689
grid,30000,117940,3.996
random,20000,40000,1.809
grid,60000,237880,6.929
random,60000,120000,6.777
grid,80000,317840,12.464
random,10000,20000,1.196
grid,30000,117940,3.702
random,20000,40000,8.258
grid,60000,237880,13.14
random,60000,120000,3.723
grid,80000,317840,9.479
random,10000,20000,1.758
grid,30000,117940,4.844
random,20000,40000,2.196
grid,60000,237880,17.128
random,60000,120000,38.996
grid,80000,317840,14.559
random,10000,20000,1.167
grid,30000,117940,4.162
random,20000,40000,2.126
grid,60000,237880,7.453
random,60000,120000,3.695
grid,80000,317840,18.157
random,10000,20000,1.428
grid,30000,117940,4.087
random,20000,40000,2.152
grid,60000,237880,13.782
random,60000,120000,40.452
grid,80000,317840,45.025
random,10000,20000,1.027
grid,30000,117940,3.394
random,20000,40000,7.542
grid,60000,237880,15.773
random,60000,120000,4.158
grid,80000,317840,25.323
random,10000,20000,3.644
grid,30000,117940,5.157
random,20000,40000,1.846
grid,60000,237880,20.116
random,60000,120000,5.071
grid,80000,317840,20.889
random,10000,20000,3.456
grid,30000,117940,3.52
random,20000,40000,1.81
grid,60000,237880,14.289
random,60000,120000,5.075
grid,80000,317840,22.857
random,10000,20000,1.492
grid,30000,117940,4.698
random,20000,40000,1.697
grid,60000,237880,13.307
random,60000,120000,36.666
grid,80000,317840,31.738
random,10000,20000,3.692
grid,30000,117940,3.546
random,20000,40000,2.734
grid,60000,237880,10.796
random,60000,120000,33.662
grid,80000,317840,9.71
random,10000,20000,1.391
grid,30000,117940,4.192
random,20000,40000,1.597
grid,60000,237880,17.293
random,60000,120000,36.474
grid,80000,317840,23.653
random,10000,20000,1.271
grid,30000,117940,2.961
random,20000,40000,7.877
grid,60000,237880,5.525
random,60000,120000,40.596
grid,80000,317840,28.514
random,10000,20000,4.246
grid,30000,117940,4.002
random,20000,40000,1.847
grid,60000,237880,11.737
random,60000,120000,4.31
grid,80000,317840,22.975
random,10000,20000,1.038
grid,30000,117940,4.4
random,20000,40000,2.081
grid,60000,237880,13.824
random,60000,120000,3.623
grid,80000,317840,17.112
random,10000,20000,1.527
grid,30000,117940,4.026
random,20000,40000,1.683
grid,60000,237880,10.009
random,60000,120000,3.143
grid,80000,317840,23.235
random,10000,20000,0.758
grid,30000,117940,3.351
random,20000,40000,8.066
grid,60000,237880,12.167
random,60000,120000,4.477
grid,80000,317840,8.796
